group_gravity,group_gravity_log,P_d__all_log,P_d_1_log,P_d_2_log,P_d_345_log,line1,line2,line3
450,2.653213,-7.654019,,-6.766395,-7.600774,-5.445964,-6.83991,-7.818534
455,2.658011,-7.707086,,,-7.665693,-5.447403,-6.843509,-7.823812
460,2.662758,-7.538511,,-6.327169,-7.538511,-5.448827,-6.847068,-7.829034
465,2.667453,-7.901239,,,-8.07733,-5.450236,-6.85059,-7.834198
470,2.672098,-7.354899,,,-7.354899,-5.451629,-6.854074,-7.839308
475,2.676694,-7.199593,,-5.856254,-7.324532,-5.453008,-6.85752,-7.844363
480,2.681241,-7.696328,,,-7.696328,-5.454372,-6.860931,-7.849365
485,2.685742,,,,,-5.455722,-6.864306,-7.854316
490,2.690196,-7.210965,,,-7.210965,-5.457059,-6.867647,-7.859216
495,2.694605,,,,,-5.458382,-6.870954,-7.864066
500,2.69897,,,,,-5.459691,-6.874228,-7.868867
,,,,,,,,
